label,statement,target,clean_text
false,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",false,says man rushed stage dayton ohio chatter isis isis social media posts
barely-true,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,barely-true,us rep phil gingrey gave government power electronically spy americans without warrant
barely-true,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,barely-true,alex sink funneled three quarters million dollars nobid contracts bank america
true,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",true,take population growth virginia net zero job creation since bob mcdonnell became governor
barely-true,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",barely-true,obama home values florida collapsed construction jobs lost state high foreclosure rate
mostly-true,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",mostly-true,new arizona immigration law says police officer stop anyone appears reasonably suspicious undocumented person
mostly-true,The only time in our history when the debt has been higher than this was the end of World War II.,mostly-true,time history debt higher end world war ii
mostly-true,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,mostly-true,cost health care singlebiggest factor driving federal budget deficit
true,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",true,recession consumer native perversity begun save savings rate percent
false,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,false,whether us supreme court nominee forthcoming confirmation hearings
barely-true,Says one out of three U.S. homeless men is a veteran.,barely-true,says one three us homeless men veteran
false,Says Charlie Crist supports cuts to the Medicare Advantage program.,false,says charlie crist supports cuts medicare advantage program
half-true,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,half-true,think unacceptable chinese today larger wind power solar panels photovoltaic manufacturing europe put together forget united states
true,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,true,says scott brown cosponsored legislation let employers deny women coverage birth control
half-true,"At some point in their lives, 99% of women use birth control.",half-true,point lives women use birth control
false,"In the past 20 years, Egypt has made great strides in political and democratic reform.",false,past years egypt made great strides political democratic reform
false,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,false,amount attention paid week chris christie makes coverage benghazi pale significance
true,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,true,says us rep steve southerland voted keep shutdown going
half-true,"In Rick Perrys Texas, we import nurses ... from other countries.",half-true,rick perrys texas import nurses countries
mostly-true,There is a federal criminal law that says its a crime to transport dentures across state lines.,mostly-true,federal criminal law says crime transport dentures across state lines
mostly-true,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,mostly-true,built new prison every days keep mass incarceration explosion nonviolent offenders
barely-true,"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",barely-true,sen mccains tax plan provides virtually nothing middle class
false,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,false,austin burdened fastestgrowing tax increases major city nation
false,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",false,phoenix arizona kidnapping capital world
true,I belong to the AFL-CIO.,true,belong aflcio
mostly-true,The insurance commissioner cant do squat about health care.,mostly-true,insurance commissioner cant squat health care
half-true,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,half-true,says poll found republican candidate could beat barack obama texas eight points
barely-true,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.",barely-true,president ronald reagan sent troops conflict one circumstance grenada peacekeeping setting lebanon
barely-true,Says David Jolly supports privatizing Social Security.,barely-true,says david jolly supports privatizing social security
true,Did you know US population growth is at its lowest since the Great Depression?,true,know us population growth lowest since great depression
mostly-true,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",mostly-true,average student florida actually pay pocket major universities tuition much less spend cellphones
true,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",true,since americans died gunfire died wars countrys history
mostly-true,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,mostly-true,foreclosure tax would take effect could mean high tax bill facing foreclosure millions families modified mortgage short sale lender
false,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,false,florida department agricultures website freshfromfloridacom used get permit carry loaded hidden gun without ever leaving house
pants-fire,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",pants-fire,atlanta streetcar expected create jobs construction totaling jobs next years
mostly-true,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",mostly-true,raising minimum wage hour would help lift million americans poverty
mostly-true,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",mostly-true,says secretary state john kerry senator flew managua met communist dictator daniel ortega accused reagan administration engaging terrorism
false,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",false,nato opening major terror division im sure im going get credit largely saying criticism nato
true,Sen. Obama has always had a 100 percent prochoice rating.,true,sen obama always percent prochoice rating
half-true,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",half-true,since gina raimondo took office investment fees states pension portfolio gone million annually million
true,The (federal) debt is growing by more than $4 billion a day.,true,federal debt growing billion day
half-true,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",half-true,president barack obamas jobs bill states would longer lay teachers firefighters police officers
false,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",false,teachers k teachers today years old
mostly-true,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,mostly-true,twothirds wisconsinites receiving unemployment checks required search work due current work search exemptions
half-true,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",half-true,president obamas healthcare reforms premium average plan family didnt go per year gone per year
half-true,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",half-true,irs also investigated liberal groups groups progressive name irs basically looking everybody
barely-true,Says Obama promised unemployment would never go above 8 percent.,barely-true,says obama promised unemployment would never go percent
true,The economy is creating jobs at the fastest pace since 1999.,true,economy creating jobs fastest pace since
mostly-true,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,mostly-true,president obama decided meet prime minister benjamin netanyahu new york
mostly-true,"In a majority of states, you can now marry freely, but can still be fired for who you love.",mostly-true,majority states marry freely still fired love
pants-fire,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,pants-fire,say oregon reps peter defazio earl blumenauer socialists openly serving us congress
pants-fire,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",pants-fire,rudy giuliani probably underqualified man since george bush seek presidency
false,"About half of the presidents have been governors; half of them, senators.",false,half presidents governors half senators
mostly-true,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",mostly-true,britains vote leave european union within hours americans lost billion ks
mostly-true,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",mostly-true,medicaid spending declined percent second decline years
true,Says 88 Texas constables have died in the line of duty.,true,says texas constables died line duty
mostly-true,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",mostly-true,gov rick scott cut cost prepaid college tuition nearly
mostly-true,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",mostly-true,city columbus would save million year employees contribute guaranteedcheck pensions
true,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",true,floridas cfo shut krakows scam refunded million josephine victims con man
mostly-true,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,mostly-true,women getting computer sciences degrees factor plus
false,The Air Force wants taxpayers to fund a fantasy football league.,false,air force wants taxpayers fund fantasy football league
pants-fire,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,pants-fire,barack hussein obama force courts accept islamic sharia law domestic disputes
half-true,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,half-true,percent murders crimes committed guns people actually legally purchase guns
mostly-true,Some neighborhood schools are closing.,mostly-true,neighborhood schools closing
mostly-true,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,mostly-true,told gay organizers massachusetts would stronger advocate special rights even ted kennedy
mostly-true,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",mostly-true,years speaker florida house consistently offered leaner budgets governor offered
barely-true,"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.",barely-true,already almost halfway goal creating new jobs seven years
true,Says the U.S. Supreme Court found that Social Security is not guaranteed.,true,says us supreme court found social security guaranteed
false,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,false,saysmichael bennet wants close guantanamo bay prisonand bring terrorists right colorado
true,Oregonians have an amazing no-cost way to fight abortion with free political donations,true,oregonians amazing nocost way fight abortion free political donations
pants-fire,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",pants-fire,president said hes going bring syrian iraqi refugees country
barely-true,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",barely-true,research shows vast majority arriving immigrants today come believe government source prosperity thats support
mostly-true,Newt Gingrichs immigration plan offers a new doorway to amnesty.,mostly-true,newt gingrichs immigration plan offers new doorway amnesty
false,Mr. Caprio is a career politician who has never worked in the private sector.,false,mr caprio career politician never worked private sector
barely-true,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",barely-true,rhode island percent workers use states temporary disability insurance program year new jersey rate percent
mostly-true,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",mostly-true,years spending social security federal health care interest debt exceed tax revenue
mostly-true,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,mostly-true,president obama took money wall street campaign anybody ever
half-true,Donald Trump has said nuclear proliferation is OK.,half-true,donald trump said nuclear proliferation ok
true,"Hillary Clinton has taken over $800,000 from lobbyists.",true,hillary clinton taken lobbyists
false,Barack Obama has never even worked in business.,false,barack obama never even worked business
half-true,Says the Arizona immigration law expressly bans racial profiling.,half-true,says arizona immigration law expressly bans racial profiling
false,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,false,says gov rick perry begging federal government send coast guard patrol two lakes usmexico border
barely-true,"On the VA: Over 300,000 veterans have died waiting for care.",barely-true,va veterans died waiting care
mostly-true,Were now spending 42 percent of our economy on government.,mostly-true,spending percent economy government
barely-true,Rob Cornilles supports privatizing Medicare.,barely-true,rob cornilles supports privatizing medicare
false,"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.",false,dan branch tried expand thirdtrimester abortions texas
half-true,We (Democrats) have made steady progress creating jobs and improving our schools.,half-true,democrats made steady progress creating jobs improving schools
pants-fire,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,pants-fire,michigan massachusetts raised bottle deposit could longer afford program redemptions high profit
true,"Whether you like to admit it or not, half our general revenue goes to education.",true,whether like admit half general revenue goes education
false,Im the only one whos fought against developers draining the Everglades!,false,im one whos fought developers draining everglades
half-true,Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,half-true,says ron johnson calls social security ponzi scheme wants privatize program
half-true,"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.",half-true,states cities type policies passed referring north carolinas house bill
barely-true,Climate change is directly related to the growth of terrorism.,barely-true,climate change directly related growth terrorism
barely-true,The jobs bill includes President Obamas tax on soup kitchens,barely-true,jobs bill includes president obamas tax soup kitchens
barely-true,Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,barely-true,says obama administration spent taxpayer dollars electric cars finland windmills china
half-true,While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,half-true,sarah mayor wasilla tried fire highly respected city librarian librarian refused consider removing library books sarah wanted removed
half-true,"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.",half-true,milwaukee approves reducing maximum forfeiture marijuana possession city would different bicycle violations higher forfeiture
false,We have more illegal immigrants here than we did five years ago.,false,illegal immigrants five years ago
barely-true,Says Rick Perry wrote a letter supporting Hillarycare.,barely-true,says rick perry wrote letter supporting hillarycare
false,The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,false,us patent trademark office received zero complaints washington redskins name
pants-fire,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.",pants-fire,presidents health care proposals cause americans premiums increased decreased hundreds millions people lose current insurance coverage
mostly-true,(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,mostly-true,mexican immigrants lawabiding us citizens statistic
half-true,Says Chris Christie vetoed a jobs package of 30 bills.,half-true,says chris christie vetoed jobs package bills
true,There are already more American jobs in the solar industry than in coal mining.,true,already american jobs solar industry coal mining
half-true,Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,half-true,says illinois gubernatorial candidate bill bradys first priority winning primary sponsor bill would masseuthanize sheltered dogs cats gas chambers
half-true,Barack Obama is in an economy thats only worsened since hes been president of the United States.,half-true,barack obama economy thats worsened since hes president united states
mostly-true,"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",mostly-true,romney failed take action sanctuary cities massachusetts
half-true,"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",half-true,says new jersey nearly jobs prerecession peak gov chris christie new jersey trailed rest america comes unemployment consecutive months
false,Says Thomas Eric Duncan came into the United States with an elevated temperature.,false,says thomas eric duncan came united states elevated temperature
mostly-true,We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,mostly-true,afghanistan longer foreign land conducting war nations history
half-true,Gas prices have gone up $2 since Obama took office.,half-true,gas prices gone since obama took office
true,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,true,webster sponsored bill create form marriage would trap women abusive relationships
true,Says judges get better benefits at a lower cost than everybody else in the state.,true,says judges get better benefits lower cost everybody else state
true,There are a lot of casinos across the country that have gone bankrupt.,true,lot casinos across country gone bankrupt
true,Small businesses create 70 percent of the jobs in America.,true,small businesses create percent jobs america
half-true,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",half-true,seniors coverage medicare advantage give share health care reform
half-true,"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",half-true,school kids arrested florida makes florida nations leader area
mostly-true,If Texas were a country our economy would rank # 10...in the WORLD.,mostly-true,texas country economy would rank world
false,There are more oil rigs in operation in the United States than the rest of the world combined.,false,oil rigs operation united states rest world combined
half-true,"Payday lenders profit from the poor by charging 1,000-plus percent interest.",half-true,payday lenders profit poor charging plus percent interest
half-true,"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",half-true,social security trust fund sound without anything done would function well even time changes could pay percent benefits people earned
mostly-true,It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,mostly-true,commitment voters take seriously incumbent ohio break pledge vote ted stricklands income tax hike defeated soundly tuesday
false,The Obama administration shut down the Amber Alert program because of the government shutdown.,false,obama administration shut amber alert program government shutdown
mostly-true,The Republicans have 2 percent of the Muslim vote.,mostly-true,republicans percent muslim vote
mostly-true,"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",mostly-true,see americas prison population exploding america greater percentage people behind bars nation world
pants-fire,"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.",pants-fire,says hearing rep gabrielle giffords suggested gen david petraeus army put emphasis less environmentally damaging methods like stabbing clubbing enemy forces order minimize carbon output
half-true,"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",half-true,every single one republican senators blocked raise minimum wage receive costofliving adjustment january
true,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.",true,texas name new male babies many vote one day jose
mostly-true,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,mostly-true,marco rubio voted authorizing president obama strike syria assad used chemical weapons people
false,"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",false,cash clunkers program weve got go local junkyard youve got tow house youre going get
false,Not one Republican has the guts to recognize that climate change is real.,false,one republican guts recognize climate change real
half-true,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",half-true,people work longer hours lower wages almost new income goes top percent
pants-fire,David Dewhurst has a record of promoting an income tax.,pants-fire,david dewhurst record promoting income tax
mostly-true,Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,mostly-true,point pleasant beach beaches privately owned operated businesses jenkinsons
barely-true,"In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.",barely-true,past year percent americans changed mind war afghanistan conclude shouldnt
false,"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.",false,last five years people killed along usmexico border
barely-true,The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.,barely-true,state ohio one lowest unemployment rates nation right leading pack terms job creation
false,Says Obama health reform law denies millions access to affordable insurance.,false,says obama health reform law denies millions access affordable insurance
barely-true,Says HB2 hasnt moved the needle one iota on North Carolinas economy.,barely-true,says hb hasnt moved needle one iota north carolinas economy
false,Close to 30% of our federal prison population consists of illegal immigrants.,false,close federal prison population consists illegal immigrants
false,Says Rick Scott called education not a core function of the state.,false,says rick scott called education core function state
false,"The Family Research Council, according to some government agencies, is a terrorist group.",false,family research council according government agencies terrorist group
true,"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.",true,says rep jim weidner proposed bill taking away health care oregons children
true,Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,true,says election former gov tom kean largest winning margin gubernatorial candidate jersey history
false,Obamacare is the biggest tax increase in American history.,false,obamacare biggest tax increase american history
true,You ... said that Barack Obama was not ready to be commander in chief.,true,said barack obama ready commander chief
mostly-true,"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically.",mostly-true,median male worker country seen raise inflation adjusted years basically
